schedule thread 
2018-09-06 17:15:20.908000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'175.721', u'speed': u'0.0000'}
2018-09-06 17:15:20.914000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'175.741', u'speed': u'0.0000'}
2018-09-06 17:15:20.968000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'175.901', u'speed': u'0.0000'}
2018-09-06 17:15:21.033000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'175.941', u'speed': u'0.0000'}
2018-09-06 17:15:21.054000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'175.981', u'speed': u'0.0000'}
2018-09-06 17:15:21.169000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.061', u'speed': u'0.0000'}
2018-09-06 17:15:21.191000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.101', u'speed': u'0.0000'}
2018-09-06 17:15:21.248000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.181', u'speed': u'0.0000'}
2018-09-06 17:15:21.358000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.261', u'speed': u'0.0000'}
2018-09-06 17:15:21.402000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.321', u'speed': u'0.0000'}
2018-09-06 17:15:21.524000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.421', u'speed': u'0.0000'}
2018-09-06 17:15:21.550000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.461', u'speed': u'0.0000'}
2018-09-06 17:15:21.621000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.541', u'speed': u'0.0000'}
2018-09-06 17:15:21.648000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.561', u'speed': u'0.0000'}
2018-09-06 17:15:21.739000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.661', u'speed': u'0.0000'}
2018-09-06 17:15:21.804000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.701', u'speed': u'0.0000'}
2018-09-06 17:15:21.884000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.781', u'speed': u'0.0000'}

2018-09-06 17:15:21.917000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.821', u'speed': u'0.0000'}
2018-09-06 17:15:21.986000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.901', u'speed': u'0.0000'}
2018-09-06 17:15:22.099000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'176.981', u'speed': u'0.0000'}
2018-09-06 17:15:22.131000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.021', u'speed': u'0.0000'}
2018-09-06 17:15:22.165000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.061', u'speed': u'0.0000'}
2018-09-06 17:15:22.241000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.161', u'speed': u'0.0000'}
2018-09-06 17:15:22.336000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.221', u'speed': u'0.0000'}
2018-09-06 17:15:22.366000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.261', u'speed': u'0.0000'}
2018-09-06 17:15:22.392000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.321', u'speed': u'0.0000'}
2018-09-06 17:15:22.499000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.401', u'speed': u'0.0000'}
2018-09-06 17:15:22.529000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.441', u'speed': u'0.0000'}
2018-09-06 17:15:22.615000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.501', u'speed': u'0.0000'}
2018-09-06 17:15:22.680000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.581', u'speed': u'0.0000'}
2018-09-06 17:15:22.817000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.661', u'speed': u'0.0000'}
2018-09-06 17:15:22.866000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.701', u'speed': u'0.0000'}

2018-09-06 17:15:22.914000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.781', u'speed': u'0.0000'}
2018-09-06 17:15:22.935000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.841', u'speed': u'0.0000'}
2018-09-06 17:15:22.999000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.901', u'speed': u'0.0000'}
2018-09-06 17:15:23.078000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.981', u'speed': u'0.0000'}
